 1/2" NPT/M20x1,5
750x240mm; 3" T.C.; CIP 2.c.0
750x260mm
750x260mm; 3" 125# FF ANSI
750x285mm/3" 125# FF ANSI
750x285mm/4" 300# ANSI
750x285mm/f. new pump BF/SF
750X360/4" 125# FF ANSI
750x360/4" 125# FF/3" 150# RF
750x360mm/3" 300# ANSI;CIP 2.c.0
750x360mm/4" 300# RF ANSI
750x360mm/6" 300# RF ANSI
750x360mm/G=1"NPT
750x390mm
750X390MM .125" THK
750X390MM 125" THK
750x390mm/6" 150# FF ANSI
750x390mm/6" 250# ANSI
750x390mm/w.2 CIP conn.
750x390mm;8" 300# RF ANSI
750x400 / 750x260
750x400x3
750x420mm/4" 300# RF ANSI
750x420MM/6" 125# FF ANSI
750x420mm;150mm DIN2501,PN16
750x440mm/special
750x475/for removable camera
750X500 / 1"
750x500 ABP/6" 150# FF ANSI
750x500 with CIP/special
750x500mm with angular CIP
750x500mm/4"TC 4.a.1;CIP+drains
750x500mm/special
750x500mm/w.flush.conn. 2" NPT
750X500w.elipt. drill./no drill.
750x580/DN200; w/SPCL. CIP PORTS
750x580mm / G=1"NPT
750x580mm/6" 300# RF ANSI
750x580mm/8" 300# FF ANSI
751RPM, 2.33:1 RATIO
756,00mmx8,00mm/See.Int.Comment
75gal;230V;3PH/ w/o pump
75HP 1800RPM 365T TEFC
75HP 185RPM 9.46:1 RATIO
75HP 425RPM  4.12:1 RATIO
75HP, 140RPM, 12.52:1 RATIO
75HP, 1750/140RPM, 12.52:1 RATIO
75HP, 252RPM, 6.95:1 RATIO
75HP, 312RPM, 5.6:1 RATIO
75HP, 312RPM, 5.60:1 RATIO
75HP, 76RPM, 22.97:1 RATIO
75HP,140RPM,12.52:1
75HP,1750RPM,230/460V,365TC
75HP,1750RPM,460V,365TC
75HP,1785/337RPM, 5.29:1 RATIO
75HP,1800RPM,208-230/460V,356TC
75HP,1800RPM,230/460V,365T
75HP,1800RPM,460V,365T
75HP,1800RPM,460V,365T MOD.
75HP,1800RPM,460V,365TC
75HP,185RPM,9.46:1
75HP,214RPM,8.19:1
75HP,252RPM,6.95:1
75HP,361RPM,4.85:1
75HP,453RPM,3.86:1
75HP,96A,380-500V
75MM * 20MM KEYWAY
75x100x10
75x100x10/see int.comment
75x100x12,7mm/reference 2043
75x140
75x15x0,5
75x2,5
75x3
75X35X58,3 / 2000x800x600
75x5mm
75x85x5,00
75x95,3x13/see int.comment
75x95x10
75x95x10,00mm
76,00x2,00mm
76,00x3,30
76,00x3,30mm
76,1x2,9
76,20x34,92mm
76.2Y C060M1 F20b UNN18 B5
76.2Y C060M1 F20b UNN21 B5
766x440mm/6" 300# RF ANSI
76RPM, 23.12:1 RATIO
76x400x4
76x475
77*2
77RPM, 23.02:1 RATIO
78 X 46
78*3
78*464*2.6
78,00 / 100,00
78,6 x 8,3
78,6 X 8,30
78,60 x 8,30 / A=65 B=59
78,74 / x 5,33mm
78,97 / x 3,53mm
782x186x6,35
786x8,00mm
787,00x8,00mm/see.int.comments
78x100x10/R5
78x3
78x3,00mm
78x335
78X46
78x46mm
78x46x0,5
79 x 56
79,00 / x 1,80mm
79,00mm x 3,50mm
79x3
7HP,1175,230/460V,254TC
7PQ11U22/50,0/API: 11/62
7x3,91
8 - 13,6 Bar
8'' 125#;6'' 600# RF ANSI Flange
8 m6 x 24
8 m6 x 28
8 Oz.
8 X 0,8
8 X 1
8 x 1,50 / Ø2"
8 X 12
8 X 25 / 1"
8 X 30 / 1"
8 X 41 X 70
8 X 5 / 5
8 X 7 X 50 / A 8
8 X 80
8"
8" / R1/8"BSP
8" 125# ANSI
8" 125# FF ANSI/6" 250# FF ANSI
8" 125# FF/6" 250# RF ANSI
8" 125#/10" 150# FF ANSI
8" 125#/8" 150# FF ANSI
8" ANSI B16.5 150LBS FF
8" ANSI B16.5/150PSI/FF
8" ANSI B16.5/300LBS/RF
8" FABRICANTE COLSON
8" LONG; 1/8" DIAMETER; T-HANDLE
8" PSW
8" PSW Iso.Ring w/Gauge & Switch
8" PSW Isolator Ring w/SW & TRAN
8" PSW Ring w/4.5" Dia. Gauge
8" PSW W/Press. Sw. & 300 Lb.
8" TC/2"TC
8" x 2" maroon polyurethane
8" X 21.56"
8"/10" 300# RF ANSI B16.5
8"/5" 300# RF ANSI; CUSTOM
8"/6" 125# FF ANSI
8"/6" 125# FF ANSI; HSG LEFT
8"/6" 125# FF ANSI; HSG RIGHT
8"/6" 125# FF ANSI; NEW PLATFORM
8"/6" 150# FF ANSI
8"/6" 150# RF ANSI;1" DRAIN
8"/6" 300# RF ANSI
8"/6" 300# RF;+FULL SKID & DRIVE
8"/6"-125#ansi;30MM;300iec
8"/6"-125#ansi;65mm;350IEC
8"/6"-150#RF ANSI
8"/8" 125# FF ANSI
8"/8" 150# FF ANSI
8"/8" 150# RF ANSI
8"/8" 300# RF ANSI
8"/8" 300# RF;CUSTOM
8"/A=270 B=203 C=2
8"/ANSI B16.1/125PSI/FF
8"/ANSI B16.5/300LBS/RF/ 3/4"NPT
8"/ASME B-16.5/#150/FF
8"/ASME B-16.5/#150/RF
8"; -30"HG - 30 PSIG WIKA
8"-125#; 6"-125# ansi
8"-125#;6"-125# ansi
8"-150"ANSI
8"-150#
8"-150# ANSI
8"-150# ANSI 90DEGREE
8"-150#;6"150# ansi
8"-150#;6"150# FF/IEC 350mm;65mm
8"-150#ANSI
8"-150#ANSI RF
8"-150#RF ANSI
8"-250# W/SWITCH
8"-250#ANSI
8"-300#ansi;750x580mm
8"-300#MAWP 280 PSI;6"-300#ansi
8"-600#ANSI
8"-600#ANSI RF
8"ANSI B16.5 300LBS RF (slip-on)
8"ANSI B16.5/150PSI/FF/3 drains
8"ASME B16.5; 150 LBS RF-SLIP ON
8"x6" ASME B16.5#150
8*1.50MM
8*1.5MM
8*1/4NPT
8*1MM
8*6 W/ STUDS  / GASKETS
8,0 x 7,0 x 45,0
8,00 / 18,00
8,00x2,00mm
8,0h8
8,0h8x39
8,30x2,40mm
8.00" wide x 48.50" Long
8.00" wide x 57.50" Long
8.18HP, 1750/194RPM, 9:1 RATIO
8.22:1 RATIO
8.33HP, 138RPM, 12.68:1 RATIO
8.5/8" / 1/2"
8.500"
8.70_8.70_6.0_5.20_3.0_3.0]
8.780HP,172RPM,10.16:1
8.79HP,179RPM,9.76:1
8.96HP, 156RPM, 11.25:1 RATIO
8''/6" 150# FF ANSI
80
80 ESPAÇADOR DE 140MM;
80 X 1,0
80 x 1,8
80 X 100,30 X 10
80 x 7
80*125*13
80*160
80*30*24
80*30*45
80,00 / 100,00
80,00 / x 3,00mm
80,00 / x 8,00mm
80,00x105,00x7,50mm
80,00x2,50mm
80,0x2,50mm
80° U-size
800 X 600
800mm
800MM X 1500MM S.S.
800x600x250mm
800x600x300
800x600x300mm
805X435mm
808X438MM 1/8" THK
80A
80B
80R FABRICANTE FALK DO BRASIL
80x100x10
80x100x10/see int.comment
80x10mm
80x12
80X160
80x2
80x2,5
80X25X1.5
80x30X24
80x30X45
80x40x1,5
80x5
80x50x3,0
80x560
80x6
80x7
80x80/A=121/B=104/C:R=80,00mm
80x90X0,1mm
80x94x0,8
80x96x7,9mm/length:284mm
81,92 / x 5,33mm
81,92 x 5,33mm
8-1/2" LENGTH
813*375
82"-300#ANSI
82,22 / x 2,62mm
82,22x2,62
82,22x2,62mm
82,50 / x 5,30mm
82x2,00mm
82x3
83,00 / x 5,00mm
8-32 * 1.0
8-32 X 7/16", 316
83x3,00/manufactured at NDB
84 X 2,62
84,00x2,00mm
844*370
844x370mm/w.01 drain: G=1" NPT
84x1,50mm
84x560x4
85
85 X 1,0
85 X 2,5
85*110*7
85*3
85*4
85,00 x110,00 x 12,00
85,00x10,00mm
85,32 / x 3,53mm
85,32 X 3,53
8-5/8 X 3-1/2"
85~250VCA
850x890x2mm
85mm
85mm ; Double Cartridge
85MM CDSA CARTRIDGE SEAL
85mm Dia. Shaft
85MM DMSF CARTRIDGE SEAL
85MM PCP CDSA
85MM PCP-CDSA V01
85MM X 110MM X 12.5MM
85MM; Double Cartridge
85mm; NPT 1/8"
85mm; Single
85MM; Single Cartridge
85mm;Single Cartridge
85x104x1,00 / 85x104x1,00mm
85x104x1,2/Pos.: 2012
85x104x1,30 / 85x104x1,30mm
85x104x1,40 / 85x104x1,40mm
85x104x1,50mm
85x105x10
85x105x10,00mm
85x105x12mm
85x110x12/SC
85x12
85x140x12/TC/R2/0-0,3bar
85x140x12mm
85X180X41
85x2,00mm/special
85x280
85x3
85x3,50
85x335
85X400
85X400X3
85X400X4
85X475
85x560x6
85X6,0
86 x 92 x 2 (mm)
86/73*3
860x8,00mm
862x3
86X72
87 x 2/w. FDA certificate
870,9x9,5
87x2
87x280 / A46
87X3
88,00 / x 3,00mm
88,49 / x 3,50mm
88,49 / x 3,53mm
88,9 x 5,49 / 3"
88,9 X 5,49 / DN 3
88,90x5,49mm/3" SCH 40
88.49*3.53
880*40*41 M30
885*70*70 M12
88x 2,50mm
88x2,50
88x3,5
88X335
88x3mm
88X400
88x51x0,5
89
896-8MX-12
89A
89B
8h8x45mm / d=8/l=45/c=1,6
8mm
8MX-112S-12-2012 HT500 SPKT
8MX-140S-12 2012
8MX-140S-21-2517 HT500 SPKT
8MX-180S-12-2517 HT500 SPKT
8MX-180S-21-3020 HT500 SPKT
8MX-180S-36-3020 HT500 SPKT
8MX-224S-12-2517 HT500 SPKT
8MX-224S-21-3020 HT500 SPKT
8MX-224S-36-3525 HT500 SPKT
8MX-25S-12-1108 HT500 SPKT
8MX-28S-12-1108 HT500 SPKT
8MX-33S-12-1610 HT500
8MX-34S-21-1610 HT500 SPKT
8MX-34S-36-1610 HT500 SPKT
8MX-35S-12 1610
8MX-35S-21 1610
8MX-36S-12-1610 HT500 SPKT
8MX-36S-21-1610 HT500 SPKT
8MX-37S-12-1610 HT500 SPKT
8MX-38S-12-1610 HT500 SPKT
8MX-38S-36-1610
8MX-39S-12 1610
8MX-39S-21-1610
8MX-40S-12-2012 HT500 SPKT
8MX-40S-21-2012
8MX-40S-36-2012 HT500 SPKT
8MX-41S-12-2012 HT500 SPKT
8MX-41S-21-2012
8MX-41S-36-2012 HT500 SPKT
8MX-42S-21-2012 HT500 SPKT
8MX-45S-12-2012 HT500 SPKT
8MX-45S-21-2012 HT500
8MX-45S-36 2012
8MX-48S-12-2012 HT500 SPKT
8MX-48S-21-2012 HT500 SPKT
8MX-48S-36-2012 HT500 SPKT
8MX-48S-62-2517 HT500 SPKT
8MX-50S-12-2012 HT500 SPKT
8MX-50S-36-2012
8MX-50S-62-2517 HT500 SPKT
8MX-53S-12-2012 HT500 SPKT
8MX-53S-21-2012 HT500 SPKT
8MX-53S-36-2012 HT500 SPKT
8MX-53S-62-2517 HT500
8MX-56S-12-2012 HT500 SPKT
8MX-56S-21-2012 HT500 SPKT
8MX-56S-36-2012 HT500 SPKT
8MX-56S-62-2517 HT500 SPKT
8MX-60S-36-2517 HT500 SPKT
8MX-60S-62-3020 HT500 SPKT
8MX-63S-21-2012 HT500 SPKT
8MX-63S-36-2517 HT500 SPKT
8MX-63S-62-3020 HT500 SPKT
8MX-675-36 2517
8MX-67S-21-2517 HT500 SPKT
8MX-67S-62-3020 HT500 SPKT
8MX-71S-21-2517 HT500 SPKT
8MX-71S-36 2517
8MX-71S-62 3020
8MX-75S-12-2012 HT500 SPKT
8MX-75S-21-2517 HT500 SPKT
8MX-75S-36-2517 HT500 SPKT
8MX-75S-62-3020 HT500 SPKT
8MX-80S-21-2517 HT500 SPKT
8MX-80S-36-3020 HT500 SPKT
8MX-80S-62 3020
8MX-90S-36 3020 TAPER LOCK
8N100
8N89
8oz/250 mL
8S 60mmBORE x 18mm x 11mm KEY
8V-1000/4 POWERBAND
8X1
8X1 / 2"
8x1,25
8X1,25X16
8x1,5
8x1/4" NPT
8x10
8X10 RF W/ STUDS BLK
8X10 W/ STUDS BLK
8X10,8
8x12
8x16mm
8x20mm
8X25
8x30mm
8x4
8X4" W/STUDS
8x55mm form B (with hole)
8X6 250#/250# CUS.
8X6" W/ STUDS
8X75
8x7x28
8x7x40A
8xØ14
9 teeth; pitch 1566mm; 7,5mm
9 teeth; pitch 783mm; 7,5mm
9 x 1,0
9,25x 1,78mm
9,52 X 1
9.0 x 7.50 x 7.00
9.000"
9.12HP,418RPM,4.064:1
9.5/8"
9.74 x 5.10 x 6.70
9.766HP,114RPM,15.35:1
90
90 Deg, Elbow Reducer, 1 x 1 NPT
90 Deg, Elbow Reducer, 2 x 1 NPT
90 DEGREE ELBOW ADAPTER, 3 NPT
90 Degree, 1 NPT Female
90 Degree, 1/2 BSPP Female
90 Degree, 1/2 NPT Female
90 Degree, 2 NPT Female
90 Degree, M10 X 1
90 ELBOW 1/2 NPT FEMALE
90 ELBOW 1/4 NPT FEMALE
90 ELBOW 1/8 NPT FEMALE
90 X 1,0
90 X 160
90 X 2
90 x 8 / A55
90,00 / 110,00
90,00 / x 3,00mm
90,00x 3,00mm
90,00x3,00mm
90/130X1,0 mm/(BTB)
90/API cod.USPFX
90; Nut für Abschlussring
90° u-size
90°/DN: 2"
90°/NPT 1/8"
90°-1/2" NPT
904x389,9 / S: A= 395,8mm
904x389,9mm w.CIP 2"TC/special
905*55*55 M8
90DEG .125 NPT
90mm
90MM BORE X 25MM KEY
90MM-Config: Simple
90º u-size
90x101
90x110x10
90x110x10/see int.comment
90x110x12
90x110x12/see int.comment
90X110X13
90x12
90x120x13/TC/R2
90x160
90x25x1,5
90x35x1,5
90x3mm/special
90x400
90X400X2
90x50
90x50,2x3,04
90x560x4
90x60x3,0
90x70
90x70x3
90x80x3,0
90x90/A=137/B=114/C:R=92,50mm
91*81*3.175 THK
91,44 / x 5,33mm
91,67 / x 3,53mm
91,67x3,53/special
91,7mm/left/three-lobe/special
91,7mm/right/three-lobe/special
91.67*3.53MM
910-PU-003
914,4x914,4mm/special
915-PU-007
92*2
92*3
92,00 / x 3,00mm
926
92MM  TOTALMENTE USINADO
92mm/hree-lobe
92mm/three-lobe
92mm/three-lobe/
92x1,0
92x2,00mm
92X400X5
92Y C060M1 F20b UNN18 B5
92Y C060M1 F20b UNN21 B5
93,26x3,53mm
930-PU-004
938*65*65
938*80*81
93mm,5x3V,frame 215T
93mm,5x3V,frame 256T
93mm,5x3V,frame 284T
93mm,5x3V,motor 132M
93mm,5x3V,motor 160L
93x186x4
93x4
93x4,00mm
94*3
94,00 / x 2,00mm
94,00 / x 3,00mm
94,5 x 6
94,50 / x 3,00mm
94,5x6 / 1/2"
94,62 / x 5,33mm
94,84 / x 3,53mm
94,84x 3,53mm
94,92 / x 2,62mm
94.5x6 / S: L= 1830
94x240
94x3
94x3mm
94x72x4
95 X 10
95 x 3
95 X 3,0
95,00 / x 2,00mm
95,00 x120,00 x10,00
95,00 x125,00 x13,00
95,00x3,00mm
95,0x2,50mm
95,2 x 9,6
95,2 X 9,60
95,25x114,30x15,88
95,2X9,6 / S:L=7425
95.2x7 / S: L= 1524
95.2x7 / S: L= 1830
95.2x7.0
95.2X9.6
95.2x9.6 / S: L= 1830
9-5/8 X 3-1/2 EU
9-5/8 X 3-1/2"
950x760x300
959
95x106
95x120x12
95X120X12mm/s. inter. comment
95x125x13/see int.comment
95x138x3
95x138x4,76
95x2,5
95x2,50
95x2,5mm/special
95x3/special
95X335
95x4,00
95x66 / 73x45
96*5.3
96,00 / x 2,00mm
96,00 / x 3,00mm
96/68
96x186x4
96x3
96x3,00
96x56,2x3
96x76,2x3
97X335
98,02 / x 3,53mm
98,02x3,50
98,02x3,53
98,05 / x 1,78mm
98x560x4
99,00 / x 5,70mm
990,6x457,2mm/G=1"NPT/special
9M
9M/special
9X36
A  10x8x15mm
A  3x14/d=3/l=14/a=0,4/c=0,5
A  4m6 X 18
A  4m6 x 24
A  5m6x50mm
A  6x6x28
A = 405mm
A 1/2" X 1/2" X 80 MM
A 1/4" x 1/4" x 40mm
A 10*14.1
A 10,0x8,0x45,0mm
A 100° U-size
A 100° U-size / special
A 100° U-size/for NPS project
A 100° U-size/JU120
A 100° U-size/JU150
A 100° U-size/JU80
A 100° U-size/special
A 100°C u-size
A 100º UNDER-SIZE
A 100º U-size
A 100º U-size/JU120
A 100º U-size/JU150
A 100º U-size/w/o hole
A 10m6x35mm
A 10x8x32
A 10X8X43
A 10x8x50
A 10x8x56
A 10x8x60
A 10x8x63
A 12,00x8,00x63,00mm
A 120° U-size
A 120° U-size/special
A 120º UNDER-SIZE
A 120º U-size
A 12x8x32 mm
A 12x8x70
A -13 MM / B -EXT. DIAM. 93 MM
A 14,00x9,00x36,00mm
A 140° U-size
A 140º U-size
A 14x9x110/see internal comments
A 14x9x28
A 14x9x45mm
A 14x9x50mm
A 14x9x63
A 14x9x80
A 14x9x90
A 150° U-size/special
A 160° U-size
A 16x10x100
A 16x10x30
A 16x10x70 mm
A 16x7x40mm
A 180° U-size
A 18x11x100
A 18x11x110
A 18x11x50
A 18x11x70
A 18x11x80
A 18x7x50
A 20° normal size
A 20° U-size
A 20x12x100
A 20x12x125
A 20x12x90
A 20X14X80
A 22X14X100
A 22x14x125
A 22x14x56
A 22x14x56/special
A 22x14x80
A 25x14x110mm
A 25x14x125
A 25x14x140
A 3/16"X3/16"X19mm
A 3/4" x 3/4" x 105mm
A 3/8"x 3/8"x 60
A 33x39x2
A 36X20X110mm/special
A 3m6x8
A 3x10/d=3/l=10/a=0,4/c=0,5
A 3x3x12mm
A 40°
A 40° UNDER-SIZE
A 40° U-size
A 40° U-size/JU120
A 40° U-size/JU150
A 40° U-size/JU70
A 40° U-size/JU80
A 40° U-size/shrink connection
A 40° U-size/special
A 40°;  Special: extended 160mm
A 40º UNDER-SIZE
A 40º undersize/Ød104,9/ØD146,93
A 40º UNDER-SIZE/SPECIAL
A 40º U-size
A 43m6x16/d=3/l=16/a=0,4/c=0,5
A 4m6x14/d=4/l=14/a=0,5/c=0,63
A 5 m6x10/d=5;l=10;a=0,63;c=0,8
A 5/16" X 5/16" X 60 MM
A 5/8" X 5/8" x 105mm
A 5m6x16
A 5m6x20
A 5m6x8mm
A 5x5x12
A 5x5x20mm
A 5x5x28mm
A 60° under-size
A 60° UNDER-SIZE/SPECIAL
A 60° U-size
A 60° U-size / special
A 60° u-size/JU150
A 60° u-size/JU80
A 60° U-size/Ød=119,85/ØD=172,20
A 60° U-size/shrink connection
A 60° U-size/special
A 60º UNDER-SIZE
A 60º undersize/Ød104,8/ØD146,85
A 60º U-size/JU150
A 60º U-size/w/o hole
A 60ºC under-size
A 6x6x16
A 6x6x20
A 6x6x25mm
A 6x6x28
A 74x102x8
A 8,0x7,0x22,0mm
A 8,0x7,0x36,0 mm
A 80° under-size
A 80° UNDER-SIZE/SPECIAL
A 80° U-size
A 80° u-size/JU150
A 80° U-size/JU80
A 80° U-size/shrink connection
A 80° U-size/special
A 80º UNDER-SIZE
A 80º undersize/Ød104,6/ØD146,6
A 80º U-size
A 8m6x18
A 8m6x26,4
A 8x7x25mm
A 8x7x40
A 8x7x50
A 8x7x63
A 90° UNDER-SIZE
A 90° u-size
A form A 6 m6x55
A UM100; JU80
A/25,00x14,00x70,00mm
A/32,00X18,00X160,00mm
A: 2965mm
A: A=1311mm
A: A=1322mm
A: A=1376mm
A: A=1606mm
A: A=1667mm
A: A=2125mm
A: A=2290mm
A: A=2424mm
A: A=2514mm
A: A=255mm
A: A=2685mm
A: A=2922mm
A: A=3165mm
A: A=3665mm
A: A=4665mm
A: A=582mm
A: A=670mm
A: A=726mm
A: A=982mm
A:1/2"-13UNC/B=105mm/C=1,50mm
A:137,00/B:124,00/C:R=122,50mm
A:3/8"-16UNC/B=95mm/C=1mm
A:M12/B:75mm/C:1,5mm
A:M16/B:90mm/C:3mm
A:M16/B=100mm/C=1,50mm
A; A=75; B=40; D=50; E=Ø18
A= 1170,2mm
A= 1200,0mm
A= 1228,0mm
A= 20/B=28,5/C=43/D=25/E=1,5
A= 214 MM / B = 107 MM
A= 24/B=13,5/C=43/D=17/E=1,5
A= 24/B=17/C=58/D=21/E=1,5
A= 24/B=23,5/C=43/D=11/E=1,5
A= 24; B= 0; C= 0; D= 0; E= 1,5
A= 25 /B= 0 /C= 0 /D= 0 /E=1,5
A= 25/B= 0/C= 0 /D= 0 /E=1,5
A= 25/B=12/C=74/D=20/E=1,5
A= 42/B=28/C=110/D=16/E=1,5
A= 50/B= 0/C= 0/D= 0/E= 1,5mm
A= 60/B= 0/C= 0/D= 0/E= 1,5
A= 60/B= 0/C= 0/D= 0/E= 1,5mm
A= 60; B= 17; C= 151; D=27;E=1,5
A= 60;B= 17;C= 151;D= 27;E=1,5
A= 8/B=15/C=43/D=20/E=1,5
A=0/B=0/C=28/D=Ø0/E=1,5mm
A=10(+0,1)/B=Ø72/C=Ø55(+0,1)
A=10,5(-0,1)/B=Ø72/C=Ø55(+0,1)
A=10/B=0/C=0/D=0
A=10/B=17,00/C=20,00/D=13,00mm
A=10/B=55/C=40,1 +0,1/form A
A=10/B=6/C=30/D=39/E=0/F=0
A=100 B=50.8
A=100 B=55
A=100 B=60
A=100/B=60/C=1,5
A=100/B=80/C=6,6/C-120 DIN 42677
A=100/B=80/C=6,6/C-120 DIN42677
A=100;B=45;D=20;E=20;SS°=10°
A=1000 B=70
A=100B=55/C=40.1+0,1
A=100mm/A1=90mm/B=60mm/C=1,5mm
A=108 B=38
A=108 B=67
A=110,5 B=102,5
A=110/B=90/C=15
A=111,00/B=99,00/C:R=95,00mm
A=1118,0mm
A=1144,0mm
A=1147,0mm
A=115 B=75
A=115/B=95/C=9/C-140 DIN 42677
A=115/B=95/C=9/C-140 DIN42677
A=1165,2mm
A=116mm; B=198mm
A=117;E=38;CONE 70
A=118,00/B=104,00/C:R=90,00mm
A=120 B=65
A=1215,0mm
A=130,00 B=70,00
A=130/B=55/C=16/D=59/E=38
A=130/B=60/C=18/D=64/E=38
A=130/B=65/C=18/D=69/E=38
A=1300 B=55
A=1300 B=80
A=132; B=92; C=2
A=135 B=65
A=1350 B=145
A=136/B=60/C=18/D=64/E=38
A=13mm/B=50,5mm/D=Ø15mm
A=140 CONE 80
A=140,00 B=105,00
A=140,00 B=80,00
A=1415,0mm
A=148;E=40;CONE 70
A=149,2/B=114,3/C=11/FC-149
A=15(-0,1)/B=Ø52,5/C=Ø43,1(+0,1)
A=15,5(-0,1)/B=Ø64,5/C=Ø55(+0,1)
A=15/B=0/C=0/C1=0/D=0/E=1,5mm
A=15/B=0/C=68/C1=0/D=0/E=1,5
A=15/B=36/C=43/D=11/E=1,5
A=150 B=42
A=1500mm/2 shaft
A=157 B=102
A=157,00/B=144,00/C:R=150,00mm
A=157/B=102/C=2
A=16(+0,1)/B=Ø55/C=Ø40(+0,1)
A=16,00 B=12,00
A=16/B=5/C=84/D=16/E=1,5
A=163 B=157
A=165 B=75
A=165 CONE 80
A=166,00/B=144,00/C:R=107,00mm
A=1699 B=2677
A=17(+0,1)/B=Ø72/C=Ø55(+0,1)
A=170 B=40
A=170 B=45
A=174,00/B=164,00/C:R=230,00mm
A=175 B=65
A=175 CONE 100
A=175/metric cone NR 90/1:20
A=180 B=65
A=180;E=40;CONE 70
A=1800 B=60
A=1821,0mm
A=1835/B=1475/L1=1629/L=1752
A=186 B=128 C=2
A=190 B=45
A=195
A=20(-0,1)/B=Ø90/C=Ø70(+0,1)
A=20/B=0/C=0/D=0/E=1,5mm
A=20/B=23/C=102/D=20/E=1,5
A=20/B=25/C=111/D=15/E=1,5mm
A=20;B=44;C=111;D=10;E=1,5
A=20+0,1/B=98/C=70,1+0,1/Form A
A=200 B=160 C=6,35 D=18 Z=4
A=200 B=35
A=200 B=45
a=200/b=165/c=130/d=M10/Ø200
A=200/metric cone NR 90/1:20
A=200;B=30;C=20;D=20;E=20
A=20mm/B=0/C=0/D=0/E=1,5mm
A=20mm; B=0; C=0; D=0; E=1,5mm
A=21(+0,1)/B=Ø58/C=Ø43(+0,1)
A=21(-0,1)/B=Ø55/C=Ø43,1(+0,1)
A=210,0 B=194,1
A=210,0 B=200,0
A=211 B=154
A=214
A=22 B=90
A=22,5(-0,1)/B=Ø72/C=Ø55(+0,1)
A=2208mm;B=85mm
A=230 CONE 80
A=230,0 B=217,3
A=230,0 B=218,0
A=230,0 B=220,5
A=230,0 B=224,0
A=2347 B=2242
A=24(+0,1)/B=Ø72/C=Ø55(+0,1)
A=24(-0,1)/B=Ø72/C=Ø55(+0,1)
A=24/B=0/C=0/D=0/E=1,5
A=24/B=13,5/C=43/D=17/E=1,5
A=24/for screw M22/M20
A=24;B=0;C=0;C1=0;D=0;E=1,5
A=25 B=26
A=25(+0,1)/B=Ø58/C=Ø43(+0,1)
A=25/B=0/C=0/D=0/E=1,5
A=25/B=0/C=0/D=0/E=1,5/welded
A=25/B=12/C=74/D=16/E=1,5
A=25/B=12/C=74/D=20/E=1,5
A=25/B=18/C=74 /D=16/E=1,5mm
A=250 B=32
A=250 B=65
A=2500mm/2 shaft
A=27(-0,1)/ØB=90/ØC=70,1(+0,1)
A=27,5/B=10,5/C=97/D=Ø15/E=1,5mm
A=27,5/B=84/C=65,1/f.sealHJ977GN
A=270mm;B=85mm;
A=2737 B=100
A=28,00 B=12,70
A=28,7(-0,1)/B=Ø90/C=Ø70.1(+0,1)
A=280 B=14
A=280 B=48
A=29(-0,1)/B=Ø84/C=Ø65,1(+0,1)
A=29/B=0/C=0/D=0/E=1,5/F= 46
A=29/B=0/C=0/D=0/E=1,5/F=46
A=29/B=0/C=0/D=0/E=1,5mm
A=29/B=10,5/C=77/D=20/E=1,5/F=46
A=29/B=15,5/C=67/D=20/E=1,5
A=29/B=15,5/C=67/D=20/E=1,5mm
A=29/B=16/C=67/D=16/E=1,5mm
A=29/B=50/C=67/D=35/E=1,5
A=30/B=0/C=0/D=0/E=1,5
A=30/B=0/C=0/D=0/E=1,5mm
A=30/B=10,5/C=99/D=15/E=1,5mm
A=30/B=120/C=10/ØD=6,65mm
A=30/B=16/C=87/D=16/E=1,5mm
A=30/B=21/C= 98/D=24/E=1,5
A=30/B=21/C=87/D=16/E=1,5mm
A=30/B=21/C=98/D= 24/E=1,5
A=300 B=45
A=31,9 (+0,1); B=46; C=3
A=32.8 B=28.5
A=320 B=101,6
A=3200 B=150
A=323 B=255 C=2
A=33(-0,1)/B=Ø50/C=Ø40,1(+0,1)
A=33/B=22/C=2,00
A=335 B=14
A=335 B=16
A=335,00mm/B=176,50mm
A=34,5(-0,1)/B=Ø80/C=Ø70,1(+0,1)
A=34/B=0/C=0/D=0/E=1,5/F=31
a=3413  b=3453
A=35,1/B=50/C=12,6
A=35/B=16/C=130/D=20/E=1,5
A=35/B=22/C=130/D=35/E=1,5
A=35/B=30/C=111/D=12/E=1,5
A=350 B=45
A=36,00 B=65,00
A=36,00 B=75,00
A=36,52/B=39,12/C=9,53/
A=38,00/B=24,00/E=0,5mm
A=38/B=25,5/C=111/D=15/E=1,5
A=38/B=68/C=103/D=40
A=38; B=0; C=0; D=0; E=1,5
A=38; B=42; C=111; D=10; E=1,5
A=39 B=20
A=39/B=0/C=0/D=0/E=1,5/F=42
A=3916 B=3958
A=40 B=23
A=40/B=70/C=121/D=Ø20mm
A=40; B=152; C=187; D=70
A=40;B=0;C=0°;C1=0;D=0;E=1,5
A=40;B=94;C=185;D=20;E=1,5
A=400 B=14
A=400 B=16
A=400 B=25,4
A=400 B=45
A=400 B=63,5
A=41(-0,1)/ØB=56/ØC=45(+0,1)
A=41,5/B=150/C=15,87/ØD=9mm
A=42/B=0/C=0/D=0/E=1,5
A=42/B=19/C=110/D=16/E=1,5
A=42;B=15;C=110;D=16;E=1,5
A=44,00 B=85,00
A=44,00 B=95,00
A=45 /B=15 /C=102 /D=16/E=1,5
